Pay Item,Description,Quantity,Unit,Unit Price,Bid Date,Bidder Name,ProjectID,Job Size,Job Desc,County,Region,Pos,Extension,Bidder2Name,Bidder3Name,Bidder2Total,Bidder3Total,JobFederalID,StateID
203-51223,"EXCAVATION, WATERWAY",502.0,C.Y.,36.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,18072.0,,,0.0,0.0,1802906,IN
203-02000,"EXCAVATION, COMMON",1196.0,C.Y.,60.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,71760.0,,,0.0,0.0,1802906,IN
202-51330,"PRESENT STRUCTURE, REMOVE",1.0,EACH,285000.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,285000.0,,,0.0,0.0,1802906,IN
202-06542,RELOCATE,1.0,EACH,72000.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,72000.0,,,0.0,0.0,1802906,IN
406-05521,ASPHALT FOR TACK COAT,1780.0,S.Y.,0.25,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,445.0,,,0.0,0.0,1802906,IN
408-12028,"CRACKS IN ASPHALT PAVEMENT, FILL",1.0,TON,1300.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,1300.0,,,0.0,0.0,1802906,IN
401-11785,LIQUID ASPHALT SEALANT,696.0,L.F.,0.1,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,69.6,,,0.0,0.0,1802906,IN
401-10259,"JOINT ADHESIVE, INTERMEDIATE",596.0,L.F.,0.15,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,89.4,,,0.0,0.0,1802906,IN
401-10258,"JOINT ADHESIVE, SURFACE",696.0,L.F.,0.15,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,104.4,,,0.0,0.0,1802906,IN
401-07390,"QC/QA-HMA, 2, 64, INTERMEDIATE, 19.0 mm",311.0,TON,131.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,40741.0,,,0.0,0.0,1802906,IN
401-07321,"QC/QA-HMA, 2, 64, SURFACE, 9.5 mm",148.0,TON,163.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,24124.0,,,0.0,0.0,1802906,IN
306-08043,"MILLING, TRANSITION",177.0,S.Y.,14.2,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,2513.4,,,0.0,0.0,1802906,IN
303-01180,"COMPACTED AGGREGATE, NO. 53",14.0,TON,92.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,1288.0,,,0.0,0.0,1802906,IN
302-06464,SUBBASE FOR PCCP,32.0,C.Y.,193.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,6176.0,,,0.0,0.0,1802906,IN
214-12239,GEOTEXTILE FOR PAVEMENT TYPE 2B,128.0,SYS,15.25,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,1952.0,,,0.0,0.0,1802906,IN
301-12234,COMPACTED AGGREGATE NO 53,17.0,C.Y.,204.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,3468.0,,,0.0,0.0,1802906,IN
616-06405,"RIPRAP, REVETMENT",711.0,TON,91.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,64701.0,,,0.0,0.0,1802906,IN
616-06451,"RIPRAP, UNIFORM",81.0,TON,96.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,7776.0,,,0.0,0.0,1802906,IN
616-12246,GEOTEXTILE FOR RIPRAP TYPE 1A,1371.0,SYS,2.6,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,3564.6,,,0.0,0.0,1802906,IN
615-06527,"MONUMENT, SECTION CORNER",1.0,EACH,750.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,750.0,,,0.0,0.0,1802906,IN
609-06257,"REINFORCED CONCRETE BRIDGE APPROACH, 10 IN",130.0,S.Y.,195.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,25350.0,,,0.0,0.0,1802906,IN
601-94689,"GUARDRAIL END TREATMENT, OS",4.0,EACH,2975.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,11900.0,,,0.0,0.0,1802906,IN
601-06374,"GUARDRAIL TRANSITION, TGS-1",4.0,EACH,950.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,3800.0,,,0.0,0.0,1802906,IN
707-07776,"STRUCTURAL MEMBER, CONCRETE BOX BEAM, 21 IN X 36 IN",402.0,L.F.,427.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,171654.0,,,0.0,0.0,1802906,IN
706-06344,"RAILING, STEEL TS-1",213.0,L.F.,76.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,16188.0,,,0.0,0.0,1802906,IN
703-97936,"THREADED TIE BAR ASSEMBLY, EPOXY COATED",66.0,EACH,82.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,5412.0,,,0.0,0.0,1802906,IN
704-51002,"CONCRETE, C, SUPERSTRUCTURE",169.1,C.Y.,1.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,169.1,,,0.0,0.0,1802906,IN
703-06028,REINFORCING BARS,12807.0,LBS,2.32,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,29712.24,,,0.0,0.0,1802906,IN
703-06029,"REINFORCING BARS, EPOXY COATED",38159.0,LBS,2.5,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,95397.5,,,0.0,0.0,1802906,IN
702-92857,"CONCRETE, C, SUBSTRUCTURE",56.3,C.Y.,1525.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,85857.5,,,0.0,0.0,1802906,IN
702-51005,"CONCRETE, A, SUBSTRUCTURE",61.6,C.Y.,1480.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,91168.0,,,0.0,0.0,1802906,IN
701-95780,"PILE, STEEL H, HP 12 IN X 74",620.0,L.F.,105.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,65100.0,,,0.0,0.0,1802906,IN
701-09560,"TEST PILE, INDICATOR, RESTRIKE",5.0,EACH,9100.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,45500.0,,,0.0,0.0,1802906,IN
701-09683,"PILE SHOE, HP 12 X 74",21.0,EACH,180.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,3780.0,,,0.0,0.0,1802906,IN
701-02938,"CORED HOLE IN ROCK, 24 IN",213.0,L.F.,815.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,173595.0,,,0.0,0.0,1802906,IN
701-09558,"TEST PILE, INDICATOR, PRODUCTION",271.0,L.F.,164.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,44444.0,,,0.0,0.0,1802906,IN
621-06574,SODDING,104.0,S.Y.,39.4,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,4097.6,,,0.0,0.0,1802906,IN
621-06565,MULCHING MATERIAL,3.0,TON,430.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,1290.0,,,0.0,0.0,1802906,IN
621-06567,WATER,1.0,M.G.,1.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,1.0,,,0.0,0.0,1802906,IN
621-12612,SEED MIXTURE FLOODPLAIN,69.0,LBS,200.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,13800.0,,,0.0,0.0,1802906,IN
621-52448,"SIGN, DO NOT SPRAY",8.0,EACH,120.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,960.0,,,0.0,0.0,1802906,IN
621-98038,"MULCH, HARDWOOD SHREDDED BARK",14.0,C.Y.,120.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,1680.0,,,0.0,0.0,1802906,IN
628-09403,"FIELD OFFICE, C",13.0,MONTH,2100.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,27300.0,,,0.0,0.0,1802906,IN
621-06559,"MULCHED SEEDING, R",267.0,S.Y.,3.5,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,934.5,,,0.0,0.0,1802906,IN
619-11052,"CLEAN STEEL BRIDGE, QP-2, BR. NO.",1.0,L.S.,68000.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,68000.0,,,0.0,0.0,1802906,IN
619-12459,DISPOSAL OF CLEANING WASTE HAZARDOUS BRIDGE NO 1,1.0,EACH,2000.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,2000.0,,,0.0,0.0,1802906,IN
619-51859,"PAINT STEEL BRIDGE, BR. NO.",1.0,L.S.,30000.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,30000.0,,,0.0,0.0,1802906,IN
621-01004,MOBILIZATION AND DEMOBILIZATION FOR SEEDING,3.0,EACH,1200.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,3600.0,,,0.0,0.0,1802906,IN
722-12732,LONGITUDINAL GROOVING,376.0,SYS,9.31,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,3500.56,,,0.0,0.0,1802906,IN
718-12307,"GEOTEXTILE FOR UNDERDRAIN, TYPE 2A",179.0,SYS,6.6,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,1181.4,,,0.0,0.0,1802906,IN
711-12147,"SUPERSTRUCTURE INSTALLATION, SLIDE-IN",1.0,L.S.,60000.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,60000.0,,,0.0,0.0,1802906,IN
711-91996,REPAIR EXISTING STRUCTURE,1.0,L.S.,225000.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,225000.0,,,0.0,0.0,1802906,IN
712-05854,BRIDGE DECK,1.0,L.S.,60856.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,60856.0,,,0.0,0.0,1802906,IN
715-05127,"PIPE, TYPE 1 CIRCULAR 42 IN",86.0,L.F.,130.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,11180.0,,,0.0,0.0,1802906,IN
715-05407,"PIPE, END BENT DRAIN, 6 IN",224.0,L.F.,17.5,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,3920.0,,,0.0,0.0,1802906,IN
715-05169,"PIPE, TYPE 3 CIRCULAR 15 IN",85.0,L.F.,60.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,5100.0,,,0.0,0.0,1802906,IN
715-05842,CONCRETE ANCHOR 42 IN,2.0,EACH,3100.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,6200.0,,,0.0,0.0,1802906,IN
715-46005,"PIPE END SECTION, DIA 15""",2.0,EACH,630.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,1260.0,,,0.0,0.0,1802906,IN
801-07118,"BARRICADE, III-A",48.0,L.F.,28.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,1344.0,,,0.0,0.0,1802906,IN
801-06775,MAINTAINING TRAFFIC,1.0,EACH,47000.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,47000.0,,,0.0,0.0,1802906,IN
801-07119,"BARRICADE, III-B",48.0,L.F.,33.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,1584.0,,,0.0,0.0,1802906,IN
801-06625,DETOUR ROUTE MARKER ASSEMBLY,16.0,EACH,318.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,5088.0,,,0.0,0.0,1802906,IN
801-06640,"CONSTRUCTION SIGN, A",10.0,EACH,447.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,4470.0,,,0.0,0.0,1802906,IN
801-04308,ROAD CLOSURE SIGN ASSEMBLY,4.0,EACH,625.0,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,2500.0,,,0.0,0.0,1802906,IN
808-06713,"LINE, PAINT, SOLID, WHITE, 4 IN",1580.0,L.F.,2.71,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,4281.8,,,0.0,0.0,1802906,IN
808-06714,"LINE, PAINT, SOLID, YELLOW, 4 IN",1580.0,L.F.,2.34,02/15/2024,"RAGLE, INC.",B -42004-A,3176866.3,BRIDGE REPLACEMENT,WARRICK,6,1,3697.2,,,0.0,0.0,1802906,IN
109-08359,LIQUIDATED DAMAGES,1.0,$,1.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,1.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
105-06845,CONSTRUCTION ENGINEERING,1.0,EACH,20000.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,20000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
109-08440,"QUALITY ADJUSTMENTS, HMA",1.0,$,1.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,1.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
109-08360,CONTRACT LIENS,1.0,$,1.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,1.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
109-08444,"QUALITY ADJUSTMENTS, FAILED MATERIALS",1.0,$,1.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,1.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
109-08443,"QUALITY ADJUSTMENTS, TEMPORARY TRAFFIC CONTROL DEVICES",1.0,$,1.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,1.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
109-09489,"PAYMENT ADJUSTMENT, PG ASPHALT BINDER",1.0,$,1.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,1.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
109-11362,"QUALITY ADJUSTMENTS, FAILURE TO MAINTAIN TEMPORARY EROSION AND SEDIMENT CONTROL MEASURES",1.0,$,1.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,1.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
110-01001,MOBILIZATION AND DEMOBILIZATION,1.0,EACH,134000.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,134000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
201-52370,CLEARING RIGHT OF WAY,1.0,EACH,20000.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,20000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
202-51330,"PRESENT STRUCTURE, REMOVE",1.0,EACH,25000.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,25000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
202-51330,"PRESENT STRUCTURE, REMOVE",1.0,EACH,175000.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,175000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
203-02000,"EXCAVATION, COMMON",613.0,C.Y.,60.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,36780.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
203-51223,"EXCAVATION, WATERWAY",28.0,C.Y.,90.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,2520.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
205-12616,STORMWATER MANAGEMENT IMPLEMENTATION,1.0,EACH,2500.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,2500.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
205-12108,STORM WATER MANAGEMENT BUDGET,20000.0,$,1.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,20000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
206-51235,COFFERDAM,1.0,EACH,174000.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,174000.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
206-51220,"EXCAVATION, WET",216.0,C.Y.,60.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,12960.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
206-51230,"EXCAVATION, FOUNDATION, UNCLASSIFIED",114.0,C.Y.,70.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,7980.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
207-08266,"SUBGRADE TREATMENT, TYPE III",1634.0,S.Y.,3.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,4902.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
207-08264,"SUBGRADE TREATMENT, TYPE II",152.0,S.Y.,45.0,02/15/2024,"MILESTONE CONTRACTORS, L.P.",B -42063-A,2673423.17,BRIDGE REPLACEMENT,"LAPORTE, PORTER",4,1,6840.0,DUNNET BAY CONSTRUCTION COMPANY,RIETH-RILEY CONSTRUCTION,2830939.52,2974603.98,1802932,IN
